tweet,sentiment,confidence
If the @Tesla stock was a video: https://t.co/LUeWkFqrb0,positive,0.3506227135658264
"@QuidRises @MistressRedWasp @TreatHunterDog @TallybanJoe @Sinner_Lilith @LordButters22 @skeeduu @longjohns1234 @DaniTrump2020 @tRick_the_only @PeterBartholo14 @Synyster63 @ms_julialee @Bigteethyouhave @giddy_bunny @Rocket2865 @NumbersMean @42Gnome @schmevilagain @nikkillavender @Vickie627 @UseLogicPlease1 @CRTShadyIsBack @Thumper18560818 @NanetteDonnelly @Trump2428 @BlackCa28867722 @browneaglewings @stopthee @Catasstrofie @texasangler1968 @Evry1H8sGrtzLOL @ProofBlog @DesertRatJT @MrChingonE @_TeeKeeMon @ukwildcatfan191 @CosmicIndiffer1 @Kenny19793 @BitchReeper @HarlemBoomer @EschleJonas @fishandgolftex @JackWhoElse @NathanBronson7 @mick7192 @Aimhighffw He’s submitter a plan to  SEC.  He no longer plans to be the sole owner. Because he doesn’t have the money.  He is planning to have Qatar and Saudi Arabia , which are both anti free speech countries.  He’s trying yo avoid having Tesla stock on margin which enraged Share holders 1",positive,0.37898385524749756
"@newsmax Take a look at Tesla stock prices, bitcoin and Twitter stock in the past 6 months.  You will realize this Twitter is for publicity that isn’t working to raise his income. The bigger they are, the harder they fall.",neutral,0.72331702709198
"I am gifting you Tesla Stock worth ₹750. Enter my code BUG4RA7GTSL while signing up 🥳
Click to claim today 👉🏼 https://t.co/OWWkiWQTVq https://t.co/5Y6jnmwlyO",positive,0.8334714770317078
@kabalyero So they should take the money they were just paid and buy the bosses stock without the benefit of his 6 dollar option to buy? So they need to pay Tesla to earn any of the profit from working for the company? I am glad you think a single person earned more then 100k employees.,neutral,0.4642344117164612
@tnggrim @McLaughlinmm707 @PDXearthling @RBReich The market has determined that the value of his companies and other assets are $200 billion. I don’t have anything to do with it. His assets are actually lower now bc Tesla stock went down in value.,neutral,0.3670409619808197
Elon Musk's Twitter deal is looking shakier than ever. Here are all the ways the leveraged buyout could crumble. https://t.co/hSUM9nkHKO,neutral,0.3572594225406647
@Andallthatjazz2 @BlackKnight10k I could never afford to buy a Tesla.   Other options are now becoming available.  When many options become available the prices will drop.  What is the value of Tesla at that point?   The stock was overvalued even before Musk opened his mouth.,neutral,0.545221209526062
Dow Jones Futures Loom; Will The New Stock Market Rally Gain Momentum? https://t.co/JccqCaTypF via @IBDinvestors,negative,0.8982451558113098
@ABC Tesla stock now down more than 40% YTD.  Musk was basing his fool's errand of buying Twitter based on the gains his company had in 2021. Different landscape now.,negative,0.9573419094085693
,neutral,0.38396143913269043
